trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.995}",30,0,-94.74458514875566,"{0: 20, 1: 2, 2: 6, 3: 2, 4: 0}",0
2,False,"{'a': 0.1, 'e': 0.99}",25,0,-120.74994237458216,"{0: 15, 1: 3, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.1, 'e': 0.985}",25,0,-166.68060169344787,"{0: 12, 1: 4, 2: 6, 3: 1, 4: 2}",0
4,False,"{'a': 0.1, 'e': 0.98}",35,0,-155.737920671724,"{0: 23, 1: 4, 2: 4, 3: 2, 4: 2}",0
5,False,"{'a': 0.1, 'e': 0.975}",25,0,-118.59886372181188,"{0: 17, 1: 0, 2: 6, 3: 0, 4: 2}",0
6,False,"{'a': 0.1, 'e': 0.97}",25,0,-136.30500630057733,"{0: 17, 1: 1, 2: 3, 3: 2, 4: 2}",0
7,False,"{'a': 0.1, 'e': 0.965}",20,0,-25.067462810065482,"{0: 13, 1: 6, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.1, 'e': 0.96}",25,2,-60.584943391792585,"{0: 17, 1: 2, 2: 3, 3: 0, 4: 1}",1
9,False,"{'a': 0.1, 'e': 0.955}",20,0,-84.30783091500261,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.95}",25,0,-84.95621037903229,"{0: 17, 1: 1, 2: 4, 3: 3, 4: 0}",0
11,False,"{'a': 0.1, 'e': 0.945}",30,0,-252.35956129587933,"{0: 14, 1: 7, 2: 3, 3: 2, 4: 4}",0
12,False,"{'a': 0.1, 'e': 0.94}",25,0,-145.32712501816985,"{0: 14, 1: 0, 2: 8, 3: 2, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.9349999999999999}",25,0,-149.41477998718548,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.9299999999999999}",20,0,-55.67174241153424,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
15,False,"{'a': 0.1, 'e': 0.9249999999999999}",20,0,-161.63633501766483,"{0: 9, 1: 1, 2: 7, 3: 1, 4: 2}",0
16,False,"{'a': 0.1, 'e': 0.9199999999999999}",20,0,-67.77890892126761,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.1, 'e': 0.9149999999999999}",25,0,-79.90296077641321,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
18,False,"{'a': 0.1, 'e': 0.9099999999999999}",25,0,-135.88318584256623,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
19,False,"{'a': 0.1, 'e': 0.9049999999999999}",20,0,-4.679804897892757,"{0: 16, 1: 4, 2: 0, 3: 0, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.8999999999999999}",30,0,-134.03735975871368,"{0: 21, 1: 1, 2: 5, 3: 1, 4: 2}",0
21,False,"{'a': 0.1, 'e': 0.8949999999999999}",30,2,-133.5069665035877,"{0: 17, 1: 4, 2: 4, 3: 1, 4: 2}",1
22,False,"{'a': 0.1, 'e': 0.8899999999999999}",25,0,-136.633298828787,"{0: 14, 1: 3, 2: 6, 3: 0, 4: 2}",0
