trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-123.42353625376862,"{0: 22, 1: 1, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.98}",25,0,-115.99830600558951,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.97}",25,0,-154.8756852419921,"{0: 14, 1: 1, 2: 5, 3: 4, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.96}",30,0,-41.575040763411145,"{0: 21, 1: 4, 2: 5, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.95}",30,0,-254.3265702410172,"{0: 12, 1: 6, 2: 7, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.94}",25,0,-118.58272342632203,"{0: 13, 1: 2, 2: 8, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9299999999999999}",20,0,-87.05307769853228,"{0: 9, 1: 4, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-178.46013232862097,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
9,False,"{'a': 0.5, 'e': 0.9099999999999999}",30,0,-112.39072789207562,"{0: 20, 1: 4, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-105.37233643921246,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-92.07326083492958,"{0: 11, 1: 5, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8799999999999999}",30,0,-115.56160610006164,"{0: 15, 1: 5, 2: 9, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8699999999999999}",20,0,-83.71643640335606,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.8599999999999999}",20,0,-49.679067905721965,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.8499999999999999}",30,0,-125.97657184774583,"{0: 20, 1: 3, 2: 5, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.8399999999999999}",25,2,-75.67578595618708,"{0: 14, 1: 3, 2: 4, 3: 2, 4: 0}",1
17,False,"{'a': 0.5, 'e': 0.8299999999999998}",20,1,-95.69379554081651,"{0: 14, 1: 1, 2: 1, 3: 1, 4: 2}",1
18,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-89.91092938516836,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8099999999999998}",20,0,-111.5143387351297,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
20,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-70.92741778293417,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.7899999999999998}",20,0,-88.4800616599905,"{0: 15, 1: 0, 2: 3, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.7799999999999998}",25,0,-74.4362629091216,"{0: 21, 1: 0, 2: 2, 3: 0, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.7699999999999998}",30,0,-67.86596099886158,"{0: 24, 1: 1, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.7599999999999998}",25,0,-116.14571907653787,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-110.84583415113536,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.7399999999999998}",20,10,-48.77531632960922,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 1}",1
27,False,"{'a': 0.5, 'e': 0.7299999999999998}",30,0,-87.1652359163368,"{0: 21, 1: 1, 2: 7, 3: 0, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.7199999999999998}",20,0,-47.91267926546984,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.7099999999999997}",30,0,-107.4172525239661,"{0: 21, 1: 2, 2: 5, 3: 0, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,11,-34.59116248523042,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 1}",1
31,False,"{'a': 0.5, 'e': 0.6899999999999997}",20,8,-25.522487620962867,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
32,False,"{'a': 0.5, 'e': 0.6799999999999997}",25,0,-99.43510620767564,"{0: 19, 1: 1, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.6699999999999997}",20,0,-57.89796407862936,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.6599999999999997}",35,0,-97.78838515314686,"{0: 25, 1: 4, 2: 4, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,0,-19.819861780195556,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
