trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.5, 'e': 0.6556592205741438}",20,11,-35.4499147498169,"{0: 5, 1: 1, 2: 2, 3: 1, 4: 0}",1
43,False,"{'a': 0.5, 'e': 0.6491026283684024}",35,0,-51.35112821761443,"{0: 29, 1: 2, 2: 2, 3: 1, 4: 1}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847183}",20,0,-33.082351885278094,"{0: 13, 1: 5, 2: 2, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638712}",20,6,-42.76523797549218,"{0: 10, 1: 3, 2: 0, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032325}",25,0,-106.48197073771226,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.6235253948912002}",20,11,-28.546575918733502,"{0: 7, 1: 0, 2: 0, 3: 2, 4: 0}",1
48,False,"{'a': 0.5, 'e': 0.6172901409422882}",20,3,-24.73721720852325,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.6111172395328653}",25,0,-113.54762208935574,"{0: 18, 1: 1, 2: 3, 3: 1, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.6050060671375367}",20,11,-16.4086375967404,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.5989560064661613}",20,0,-37.690422437468214,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.5929664464014998}",25,5,12.860006215849287,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.5870367819374848}",25,0,-103.35945215277586,"{0: 16, 1: 4, 2: 3, 3: 0, 4: 2}",0
54,False,"{'a': 0.5, 'e': 0.5811664141181099}",30,21,-20.487931446022888,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769288}",25,15,0.00847241703576418,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
56,False,"{'a': 0.5, 'e': 0.5696012024771595}",20,0,-94.52948510588365,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 2}",0
57,False,"{'a': 0.5, 'e': 0.563905190452388}",25,0,-72.89299610289913,"{0: 18, 1: 3, 2: 2, 3: 1, 4: 1}",0
58,False,"{'a': 0.5, 'e': 0.5582661385478641}",35,9,-66.21000901272247,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 1}",1
59,False,"{'a': 0.5, 'e': 0.5526834771623854}",20,0,-18.02915919836643,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
60,False,"{'a': 0.5, 'e': 0.5471566423907616}",20,10,-24.631765805343942,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 0}",1
61,False,"{'a': 0.5, 'e': 0.5416850759668539}",20,3,-23.100534101988195,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 1}",1
62,False,"{'a': 0.5, 'e': 0.5362682252071853}",20,0,-133.26846223583834,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551135}",30,10,28.166479697071026,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.5, 'e': 0.5255964875255623}",30,0,-59.60445630114353,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
65,False,"{'a': 0.5, 'e': 0.5203405226503067}",25,16,-6.024403203530915,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 0}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238036}",20,0,-18.2209656047899,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495656}",25,0,-78.13555297919345,"{0: 19, 1: 0, 2: 4, 3: 1, 4: 1}",0
68,False,"{'a': 0.5, 'e': 0.50488588878707}",20,12,5.61290051246199,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
69,False,"{'a': 0.5, 'e': 0.49983702989919926}",25,11,-13.233610663709916,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.4948386596002073}",30,23,11.331562031168467,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.48989027300420523}",20,4,-117.40503261731813,"{0: 7, 1: 2, 2: 4, 3: 2, 4: 1}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416317}",20,1,-110.87063114712687,"{0: 10, 1: 5, 2: 2, 3: 0, 4: 2}",1
73,False,"{'a': 0.5, 'e': 0.48014145657142154}",25,0,-79.84644765304962,"{0: 17, 1: 3, 2: 4, 3: 0, 4: 1}",0
74,False,"{'a': 0.5, 'e': 0.47534004200570734}",20,0,26.649787851860438,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
75,False,"{'a': 0.5, 'e': 0.4705866415856503}",20,0,-79.39970075976223,"{0: 13, 1: 2, 2: 3, 3: 1, 4: 1}",0
76,False,"{'a': 0.5, 'e': 0.46588077516979376}",20,15,9.166604809127142,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46122196741809585}",25,6,-0.4022518805066857,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.4566097477439149}",25,18,-0.5330991966020888,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45204365026647575}",20,6,11.935532675923874,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.447523213763811}",25,11,-30.00115751298205,"{0: 10, 1: 1, 2: 2, 3: 1, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.44304798162617287}",35,10,-41.97329772068811,"{0: 19, 1: 3, 2: 2, 3: 0, 4: 1}",1
82,False,"{'a': 0.5, 'e': 0.43861750180991116}",25,0,-65.47957730072892,"{0: 19, 1: 1, 2: 3, 3: 1, 4: 1}",0
83,False,"{'a': 0.5, 'e': 0.43423132679181203}",30,16,13.019500412252796,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238939}",25,11,-46.658150159734035,"{0: 11, 1: 1, 2: 0, 3: 1, 4: 1}",1
85,False,"{'a': 0.5, 'e': 0.425590123388655}",20,0,-65.79443960572397,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
