trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
163,False,"{'a': 0.1, 'e': 0.19432859888279536}",20,1,0.35005752323569506,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 0}",1
164,False,"{'a': 0.1, 'e': 0.1923853128939674}",25,17,6.879663340227408,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.1, 'e': 0.19046145976502774}",30,21,18.48846831497733,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.1, 'e': 0.18855684516737745}",20,8,-7.0163034695166555,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
167,False,"{'a': 0.1, 'e': 0.18667127671570366}",20,8,21.951677952695615,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
168,False,"{'a': 0.1, 'e': 0.18480456394854664}",25,0,22.871551232689708,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",1
169,False,"{'a': 0.1, 'e': 0.18295651830906118}",25,11,0.7883319139780773,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
170,False,"{'a': 0.1, 'e': 0.18112695312597057}",25,17,15.776069893180486,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.1, 'e': 0.17931568359471087}",20,9,11.312399243119726,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.1, 'e': 0.17752252675876376}",20,4,-15.776124365015598,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
173,False,"{'a': 0.1, 'e': 0.17574730149117612}",25,0,-10.776472859907107,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",1
174,False,"{'a': 0.1, 'e': 0.17398982847626437}",25,17,11.007066167290205,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.1, 'e': 0.17224993019150173}",20,6,5.398446295483854,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
176,False,"{'a': 0.1, 'e': 0.17052743088958672}",20,10,11.882895947515768,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
177,False,"{'a': 0.1, 'e': 0.16882215658069086}",25,14,1.3389741647290712,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
178,False,"{'a': 0.1, 'e': 0.16713393501488394}",20,0,17.347976318972137,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
179,False,"{'a': 0.1, 'e': 0.1654625956647351}",20,3,23.1863570795474,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.1, 'e': 0.16380796970808775}",25,13,21.07167785750274,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.1, 'e': 0.16216989001100687}",20,13,13.78840207118846,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.1, 'e': 0.1605481911108968}",20,10,20.05166021912239,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.1, 'e': 0.15894270919978784}",25,8,29.48087217659321,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.1, 'e': 0.15735328210778995}",20,14,12.143680714487274,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.1, 'e': 0.15577974928671207}",20,0,29.292843143623635,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.1, 'e': 0.15422195179384496}",30,0,-9.537117726493626,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 1}",0
187,False,"{'a': 0.1, 'e': 0.1526797322759065}",25,11,2.2401677790716708,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
188,False,"{'a': 0.1, 'e': 0.15115293495314744}",30,12,-0.6696136583530594,"{0: 16, 1: 0, 2: 1, 3: 1, 4: 0}",1
189,False,"{'a': 0.1, 'e': 0.14964140560361597}",20,11,16.360546375850145,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
