trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.995}",30,0,-105.95007146879577,"{0: 19, 1: 3, 2: 6, 3: 1, 4: 1}",0
2,False,"{'a': 0.1, 'e': 0.99}",25,6,-79.75438325382542,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 1}",1
3,False,"{'a': 0.1, 'e': 0.985}",25,0,-68.75121755723143,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.1, 'e': 0.98}",25,0,-134.5149268364196,"{0: 12, 1: 6, 2: 4, 3: 2, 4: 1}",0
5,False,"{'a': 0.1, 'e': 0.975}",25,0,-97.3974903762472,"{0: 17, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.97}",20,0,-73.93211461007992,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
7,False,"{'a': 0.1, 'e': 0.965}",30,0,-314.54838754297384,"{0: 12, 1: 8, 2: 3, 3: 1, 4: 6}",0
8,False,"{'a': 0.1, 'e': 0.96}",20,0,-37.51670067330412,"{0: 12, 1: 6, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.1, 'e': 0.955}",30,0,-117.84585494206276,"{0: 19, 1: 4, 2: 4, 3: 2, 4: 1}",0
10,False,"{'a': 0.1, 'e': 0.95}",20,0,-117.7527850760504,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.1, 'e': 0.945}",25,0,-37.545361715080034,"{0: 18, 1: 4, 2: 2, 3: 1, 4: 0}",0
12,False,"{'a': 0.1, 'e': 0.94}",30,0,-156.93965931530093,"{0: 15, 1: 6, 2: 5, 3: 3, 4: 1}",0
13,False,"{'a': 0.1, 'e': 0.9349999999999999}",30,0,-133.369833809231,"{0: 18, 1: 3, 2: 6, 3: 2, 4: 1}",0
14,False,"{'a': 0.1, 'e': 0.9299999999999999}",25,0,-185.96017123972052,"{0: 15, 1: 1, 2: 4, 3: 2, 4: 3}",0
15,False,"{'a': 0.1, 'e': 0.9249999999999999}",35,0,-124.97829854811783,"{0: 21, 1: 5, 2: 8, 3: 0, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.9199999999999999}",20,0,-88.65589534524811,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
