trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
45,False,"{'a': 0.1, 'e': 0.955}",25,0,-105.31898811534552,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
46,False,"{'a': 0.1, 'e': 0.954}",20,0,-77.4619249230404,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
47,False,"{'a': 0.1, 'e': 0.953}",25,7,-76.40708747689281,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 1}",1
48,False,"{'a': 0.1, 'e': 0.952}",25,0,-170.41757683225023,"{0: 13, 1: 3, 2: 5, 3: 2, 4: 2}",0
49,False,"{'a': 0.1, 'e': 0.951}",25,0,-173.8742867093307,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
50,False,"{'a': 0.1, 'e': 0.95}",20,0,-109.0068453463474,"{0: 9, 1: 4, 2: 4, 3: 3, 4: 0}",0
51,False,"{'a': 0.1, 'e': 0.949}",30,0,-202.079094055679,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 4}",0
52,False,"{'a': 0.1, 'e': 0.948}",20,0,-77.52388132539349,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
53,False,"{'a': 0.1, 'e': 0.947}",20,0,-87.38867686722698,"{0: 11, 1: 2, 2: 5, 3: 2, 4: 0}",0
54,False,"{'a': 0.1, 'e': 0.946}",35,0,-228.7659164943003,"{0: 17, 1: 4, 2: 11, 3: 0, 4: 3}",0
55,False,"{'a': 0.1, 'e': 0.945}",25,0,-96.06483021610052,"{0: 17, 1: 1, 2: 5, 3: 1, 4: 1}",0
56,False,"{'a': 0.1, 'e': 0.944}",20,8,-44.82329856337829,"{0: 8, 1: 2, 2: 1, 3: 0, 4: 1}",1
57,False,"{'a': 0.1, 'e': 0.943}",30,0,-165.4381671060351,"{0: 13, 1: 4, 2: 12, 3: 0, 4: 1}",0
58,False,"{'a': 0.1, 'e': 0.942}",25,0,-152.29543783158604,"{0: 15, 1: 2, 2: 4, 3: 2, 4: 2}",0
59,False,"{'a': 0.1, 'e': 0.941}",25,16,-38.46743577814211,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 1}",1
60,False,"{'a': 0.1, 'e': 0.94}",30,0,-204.8257991736408,"{0: 20, 1: 1, 2: 4, 3: 1, 4: 4}",0
61,False,"{'a': 0.1, 'e': 0.939}",30,0,-237.7672936867807,"{0: 16, 1: 5, 2: 3, 3: 2, 4: 4}",0
62,False,"{'a': 0.1, 'e': 0.938}",30,0,-252.50789334305742,"{0: 17, 1: 3, 2: 4, 3: 1, 4: 5}",0
63,False,"{'a': 0.1, 'e': 0.9369999999999999}",25,0,-71.56186963807333,"{0: 16, 1: 6, 2: 2, 3: 0, 4: 1}",0
64,False,"{'a': 0.1, 'e': 0.9359999999999999}",30,0,-209.71681313983447,"{0: 15, 1: 5, 2: 6, 3: 1, 4: 3}",0
65,False,"{'a': 0.1, 'e': 0.9349999999999999}",25,0,-166.88221980911456,"{0: 16, 1: 2, 2: 2, 3: 2, 4: 3}",0
66,False,"{'a': 0.1, 'e': 0.9339999999999999}",20,0,-70.68616359811479,"{0: 11, 1: 3, 2: 5, 3: 1, 4: 0}",0
67,False,"{'a': 0.1, 'e': 0.9329999999999999}",25,0,-98.47733078331999,"{0: 13, 1: 2, 2: 10, 3: 0, 4: 0}",0
68,False,"{'a': 0.1, 'e': 0.9319999999999999}",30,0,-70.14117332223283,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
69,False,"{'a': 0.1, 'e': 0.9309999999999999}",20,0,-73.42581164938304,"{0: 11, 1: 2, 2: 6, 3: 1, 4: 0}",0
70,False,"{'a': 0.1, 'e': 0.9299999999999999}",20,0,-161.9381035144513,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
71,False,"{'a': 0.1, 'e': 0.9289999999999999}",30,0,-160.50257784812527,"{0: 14, 1: 5, 2: 9, 3: 1, 4: 1}",0
72,False,"{'a': 0.1, 'e': 0.9279999999999999}",20,0,-143.05392349435002,"{0: 9, 1: 0, 2: 9, 3: 1, 4: 1}",0
73,False,"{'a': 0.1, 'e': 0.9269999999999999}",20,0,-68.37282266491374,"{0: 13, 1: 3, 2: 3, 3: 0, 4: 1}",0
74,False,"{'a': 0.1, 'e': 0.9259999999999999}",25,0,-72.21346423374767,"{0: 15, 1: 4, 2: 5, 3: 1, 4: 0}",0
75,False,"{'a': 0.1, 'e': 0.9249999999999999}",20,0,-112.78141014575705,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
76,False,"{'a': 0.1, 'e': 0.9239999999999999}",20,0,-68.45563860624668,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
77,False,"{'a': 0.1, 'e': 0.9229999999999999}",20,0,-65.3356556130623,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
78,False,"{'a': 0.1, 'e': 0.9219999999999999}",35,0,-153.7656856520529,"{0: 24, 1: 1, 2: 6, 3: 2, 4: 2}",0
79,False,"{'a': 0.1, 'e': 0.9209999999999999}",30,15,-72.73612236733847,"{0: 7, 1: 1, 2: 6, 3: 1, 4: 0}",1
80,False,"{'a': 0.1, 'e': 0.9199999999999999}",20,0,-171.7401291121898,"{0: 12, 1: 3, 2: 1, 3: 0, 4: 4}",0
81,False,"{'a': 0.1, 'e': 0.9189999999999999}",25,0,-120.54506194345694,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
82,False,"{'a': 0.1, 'e': 0.9179999999999999}",30,0,-218.03931996776294,"{0: 18, 1: 2, 2: 5, 3: 1, 4: 4}",0
83,False,"{'a': 0.1, 'e': 0.9169999999999999}",25,0,-75.21974791180521,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
84,False,"{'a': 0.1, 'e': 0.9159999999999999}",20,12,-24.50021684612994,"{0: 5, 1: 1, 2: 1, 3: 1, 4: 0}",1
85,False,"{'a': 0.1, 'e': 0.9149999999999999}",25,0,-73.56483704875639,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
86,False,"{'a': 0.1, 'e': 0.9139999999999999}",25,0,-49.23027747181354,"{0: 17, 1: 5, 2: 2, 3: 1, 4: 0}",0
87,False,"{'a': 0.1, 'e': 0.9129999999999999}",25,0,-145.5988217754687,"{0: 15, 1: 1, 2: 6, 3: 1, 4: 2}",0
88,False,"{'a': 0.1, 'e': 0.9119999999999999}",25,0,-177.77701948375073,"{0: 13, 1: 5, 2: 3, 3: 1, 4: 3}",0
89,False,"{'a': 0.1, 'e': 0.9109999999999999}",20,0,-13.904744958625024,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
90,False,"{'a': 0.1, 'e': 0.9099999999999999}",20,0,-160.22644696612255,"{0: 10, 1: 3, 2: 4, 3: 0, 4: 3}",0
91,False,"{'a': 0.1, 'e': 0.9089999999999999}",20,0,-41.785008146585625,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
92,False,"{'a': 0.1, 'e': 0.9079999999999999}",30,0,-236.37873621734647,"{0: 15, 1: 0, 2: 9, 3: 4, 4: 2}",0
93,False,"{'a': 0.1, 'e': 0.9069999999999999}",20,0,-38.78521496593815,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
94,False,"{'a': 0.1, 'e': 0.9059999999999999}",25,0,-139.3282476490151,"{0: 13, 1: 2, 2: 7, 3: 2, 4: 1}",0
95,False,"{'a': 0.1, 'e': 0.9049999999999999}",25,0,-59.06232449487397,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
96,False,"{'a': 0.1, 'e': 0.9039999999999999}",20,0,-109.93739019179368,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
97,False,"{'a': 0.1, 'e': 0.9029999999999999}",20,0,-35.411040145550075,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
98,False,"{'a': 0.1, 'e': 0.9019999999999999}",20,0,-139.77259396659193,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",1
