trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.1, 'e': 0.99}",30,0,-182.8832454068,"{0: 16, 1: 6, 2: 5, 3: 0, 4: 3}",0
2,False,"{'a': 0.1, 'e': 0.98}",20,4,-45.49149116084315,"{0: 10, 1: 1, 2: 5, 3: 0, 4: 0}",1
3,False,"{'a': 0.1, 'e': 0.97}",20,0,-100.20207334287123,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
4,False,"{'a': 0.1, 'e': 0.96}",25,0,-181.6629109541477,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 4}",0
5,False,"{'a': 0.1, 'e': 0.95}",20,0,-90.92790453886553,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
6,False,"{'a': 0.1, 'e': 0.94}",25,0,-70.21390877707562,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 0}",0
7,False,"{'a': 0.1, 'e': 0.9299999999999999}",35,0,-137.77478838660372,"{0: 24, 1: 2, 2: 6, 3: 1, 4: 2}",0
8,False,"{'a': 0.1, 'e': 0.9199999999999999}",20,0,-127.36082332112188,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
9,False,"{'a': 0.1, 'e': 0.9099999999999999}",20,0,-146.29553223930307,"{0: 14, 1: 0, 2: 2, 3: 1, 4: 3}",0
10,False,"{'a': 0.1, 'e': 0.8999999999999999}",35,0,-190.88297017221532,"{0: 22, 1: 2, 2: 7, 3: 1, 4: 3}",0
11,False,"{'a': 0.1, 'e': 0.8899999999999999}",25,0,-207.78156746847,"{0: 13, 1: 0, 2: 6, 3: 4, 4: 2}",0
12,False,"{'a': 0.1, 'e': 0.8799999999999999}",20,0,-77.65643817927943,"{0: 12, 1: 2, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.1, 'e': 0.8699999999999999}",35,18,-44.19314444491434,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 1}",1
14,False,"{'a': 0.1, 'e': 0.8599999999999999}",20,0,-143.18834051277656,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 3}",0
15,False,"{'a': 0.1, 'e': 0.8499999999999999}",30,0,-114.35801489330738,"{0: 20, 1: 1, 2: 7, 3: 1, 4: 1}",0
16,False,"{'a': 0.1, 'e': 0.8399999999999999}",20,9,-29.46246776239096,"{0: 7, 1: 2, 2: 1, 3: 1, 4: 0}",1
17,False,"{'a': 0.1, 'e': 0.8299999999999998}",25,0,-129.85290224119294,"{0: 14, 1: 5, 2: 4, 3: 0, 4: 2}",0
18,False,"{'a': 0.1, 'e': 0.8199999999999998}",20,0,-83.87722797079375,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.1, 'e': 0.8099999999999998}",25,0,-63.82807084401125,"{0: 15, 1: 6, 2: 3, 3: 1, 4: 0}",0
20,False,"{'a': 0.1, 'e': 0.7999999999999998}",35,0,-34.489384679532684,"{0: 26, 1: 7, 2: 1, 3: 1, 4: 0}",0
21,False,"{'a': 0.1, 'e': 0.7899999999999998}",30,0,-82.05829216667895,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
22,False,"{'a': 0.1, 'e': 0.7799999999999998}",25,0,-126.14452575418902,"{0: 14, 1: 3, 2: 5, 3: 2, 4: 1}",0
23,False,"{'a': 0.1, 'e': 0.7699999999999998}",20,0,-50.866456151850024,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
24,False,"{'a': 0.1, 'e': 0.7599999999999998}",30,0,-228.2748004691708,"{0: 16, 1: 4, 2: 4, 3: 3, 4: 3}",0
25,False,"{'a': 0.1, 'e': 0.7499999999999998}",20,0,-54.682651165041776,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
26,False,"{'a': 0.1, 'e': 0.7399999999999998}",20,15,-14.641335637408053,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
27,False,"{'a': 0.1, 'e': 0.7299999999999998}",20,3,-33.33784218924093,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
28,False,"{'a': 0.1, 'e': 0.7199999999999998}",30,13,-13.638614230768454,"{0: 12, 1: 2, 2: 3, 3: 0, 4: 0}",1
29,False,"{'a': 0.1, 'e': 0.7099999999999997}",30,10,2.3950780713829163,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.1, 'e': 0.6999999999999997}",20,0,-13.01179361389134,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
31,False,"{'a': 0.1, 'e': 0.6899999999999997}",20,0,-33.09194421841868,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
32,False,"{'a': 0.1, 'e': 0.6799999999999997}",20,9,-24.6180691225886,"{0: 7, 1: 1, 2: 3, 3: 0, 4: 0}",1
33,False,"{'a': 0.1, 'e': 0.6699999999999997}",25,6,-60.432405581336326,"{0: 13, 1: 3, 2: 1, 3: 1, 4: 1}",1
34,False,"{'a': 0.1, 'e': 0.6599999999999997}",25,7,-95.0268805755783,"{0: 11, 1: 3, 2: 2, 3: 0, 4: 2}",1
35,False,"{'a': 0.1, 'e': 0.6499999999999997}",25,8,0.9194476254074144,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
36,False,"{'a': 0.1, 'e': 0.6399999999999997}",35,0,-52.86945094859414,"{0: 26, 1: 2, 2: 6, 3: 1, 4: 0}",0
37,False,"{'a': 0.1, 'e': 0.6299999999999997}",25,19,8.246655910591896,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.1, 'e': 0.6199999999999997}",20,0,-80.85244129409728,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
39,False,"{'a': 0.1, 'e': 0.6099999999999997}",35,0,-42.289714299912134,"{0: 30, 1: 3, 2: 0, 3: 1, 4: 1}",0
40,False,"{'a': 0.1, 'e': 0.5999999999999996}",20,4,-1.5443642763944412,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
41,False,"{'a': 0.1, 'e': 0.5899999999999996}",20,0,-66.01385206273319,"{0: 14, 1: 3, 2: 1, 3: 1, 4: 1}",0
42,False,"{'a': 0.1, 'e': 0.5799999999999996}",20,0,-60.75962103939237,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
43,False,"{'a': 0.1, 'e': 0.5699999999999996}",20,10,-42.45293300731795,"{0: 7, 1: 1, 2: 1, 3: 0, 4: 1}",1
44,False,"{'a': 0.1, 'e': 0.5599999999999996}",20,0,-89.51125689817044,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
45,False,"{'a': 0.1, 'e': 0.5499999999999996}",20,0,-22.580588610073015,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
46,False,"{'a': 0.1, 'e': 0.5399999999999996}",20,0,0.3956701087852652,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
47,False,"{'a': 0.1, 'e': 0.5299999999999996}",25,0,-96.88336197009122,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
48,False,"{'a': 0.1, 'e': 0.5199999999999996}",20,2,-43.49242571810019,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
49,False,"{'a': 0.1, 'e': 0.5099999999999996}",25,0,-122.92687434247553,"{0: 16, 1: 2, 2: 5, 3: 0, 4: 2}",0
50,False,"{'a': 0.1, 'e': 0.49999999999999956}",20,0,3.896383016452373,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.1, 'e': 0.48999999999999955}",30,0,-62.206908888423,"{0: 23, 1: 2, 2: 4, 3: 0, 4: 1}",0
52,False,"{'a': 0.1, 'e': 0.47999999999999954}",25,12,-35.0993663337071,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 1}",1
53,False,"{'a': 0.1, 'e': 0.46999999999999953}",25,0,-30.112470334046233,"{0: 19, 1: 2, 2: 4, 3: 0, 4: 0}",0
54,False,"{'a': 0.1, 'e': 0.4599999999999995}",20,9,-11.36936548568424,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
55,False,"{'a': 0.1, 'e': 0.4499999999999995}",25,11,-18.905815486810113,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
56,False,"{'a': 0.1, 'e': 0.4399999999999995}",20,0,-3.5860583083847697,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
57,False,"{'a': 0.1, 'e': 0.4299999999999995}",25,0,-57.174349856653606,"{0: 18, 1: 4, 2: 2, 3: 0, 4: 1}",0
58,False,"{'a': 0.1, 'e': 0.4199999999999995}",20,1,-15.248763007186776,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
59,False,"{'a': 0.1, 'e': 0.4099999999999995}",20,0,-43.38751982657413,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.1, 'e': 0.39999999999999947}",25,0,-111.62156364416921,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
61,False,"{'a': 0.1, 'e': 0.38999999999999946}",35,14,1.692378361086083,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 0}",1
62,False,"{'a': 0.1, 'e': 0.37999999999999945}",20,2,-40.02195462125656,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 0}",1
63,False,"{'a': 0.1, 'e': 0.36999999999999944}",20,7,-11.988407825136779,"{0: 11, 1: 0, 2: 1, 3: 1, 4: 0}",1
64,False,"{'a': 0.1, 'e': 0.35999999999999943}",20,0,20.900924851371432,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.1, 'e': 0.3499999999999994}",20,12,15.271730293302962,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
66,False,"{'a': 0.1, 'e': 0.3399999999999994}",25,13,-16.92966199403049,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
67,False,"{'a': 0.1, 'e': 0.3299999999999994}",20,11,17.355478137105063,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.1, 'e': 0.3199999999999994}",25,13,-22.32290919790674,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
69,False,"{'a': 0.1, 'e': 0.3099999999999994}",25,9,23.180060824936117,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.1, 'e': 0.2999999999999994}",20,12,-44.57318635772647,"{0: 5, 1: 1, 2: 1, 3: 0, 4: 1}",1
71,False,"{'a': 0.1, 'e': 0.28999999999999937}",20,0,-27.085764860251537,"{0: 13, 1: 4, 2: 3, 3: 0, 4: 0}",0
72,False,"{'a': 0.1, 'e': 0.27999999999999936}",25,9,11.96373354004467,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.1, 'e': 0.26999999999999935}",30,14,6.290696472063975,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
74,False,"{'a': 0.1, 'e': 0.25999999999999934}",20,15,11.132777690383982,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.1, 'e': 0.24999999999999933}",25,0,2.380970352245873,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
76,False,"{'a': 0.1, 'e': 0.23999999999999932}",20,3,0.9148879904077007,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
77,False,"{'a': 0.1, 'e': 0.22999999999999932}",25,3,-15.03635494944789,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 1}",1
78,False,"{'a': 0.1, 'e': 0.2199999999999993}",30,4,27.110674477200675,"{0: 25, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.1, 'e': 0.2099999999999993}",20,0,-32.35489908059896,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
80,False,"{'a': 0.1, 'e': 0.1999999999999993}",30,8,-41.35818064867369,"{0: 18, 1: 2, 2: 0, 3: 1, 4: 1}",1
81,False,"{'a': 0.1, 'e': 0.18999999999999928}",30,13,2.8533699977590743,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.1, 'e': 0.17999999999999927}",20,4,-11.498984557107113,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
83,False,"{'a': 0.1, 'e': 0.16999999999999926}",25,6,-1.7292662990509544,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
84,False,"{'a': 0.1, 'e': 0.15999999999999925}",20,16,5.261835099401658,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.1, 'e': 0.14999999999999925}",25,10,14.885425228078354,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
86,False,"{'a': 0.1, 'e': 0.13999999999999924}",20,0,-13.42952233088316,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
87,False,"{'a': 0.1, 'e': 0.12999999999999923}",35,16,23.739060698280696,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
88,False,"{'a': 0.1, 'e': 0.11999999999999923}",20,6,18.316293334576397,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.1, 'e': 0.10999999999999924}",20,6,-22.71765575986644,"{0: 11, 1: 0, 2: 2, 3: 1, 4: 0}",1
90,False,"{'a': 0.1, 'e': 0.09999999999999924}",25,11,-15.854710756293628,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
91,False,"{'a': 0.1, 'e': 0.08999999999999925}",35,18,29.737209676052824,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.1, 'e': 0.07999999999999925}",20,12,10.665104564502116,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
93,False,"{'a': 0.1, 'e': 0.06999999999999926}",35,21,24.01440505600909,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
94,False,"{'a': 0.1, 'e': 0.059999999999999255}",25,17,9.486920509935429,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
95,False,"{'a': 0.1, 'e': 0.04999999999999925}",25,17,13.850226526827882,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
96,False,"{'a': 0.1, 'e': 0.03999999999999925}",20,12,15.44856046288132,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
97,False,"{'a': 0.1, 'e': 0.02999999999999925}",25,7,30.37617903209208,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
98,False,"{'a': 0.1, 'e': 0.019999999999999248}",20,2,25.140984031602873,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
99,False,"{'a': 0.1, 'e': 0.009999999999999247}",30,12,34.60988781567384,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.1, 'e': -7.528699885739343e-16}",20,0,31.664156480263244,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,6,20.55582465208715,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,2,32.876436966806104,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",25,0,37.91267188668716,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,16,7.496518016416943,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",30,15,25.973039341988557,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,6,22.92946029333877,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,9,36.32439071990644,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,18,14.013465650981342,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,13,19.55879837717629,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,13,11.137206654035184,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
